,Unnamed: 0,Unnamed: 0.1,ZCTA,GEO.display-label,Percent_Public_Insurance,Median_Income,Percentage_Minority,Zipcode_population,Percentage_above65
0,0,0,51640,ZCTA5 51640,25.3,41563,1.984126984,1512,24.5
1,1,1,52542,ZCTA5 52542,10.8,41146,12.80898876,445,11.2
2,2,2,52573,ZCTA5 52573,37.2,106818,0,172,37.2
3,3,3,52626,ZCTA5 52626,24.2,38971,2.388059701,1340,21.4
4,4,4,63005,ZCTA5 63005,14.4,160354,11.90102121,17822,14.4
5,5,5,63010,ZCTA5 63010,16.5,63654,3.226075358,35988,14.6
6,6,6,63011,ZCTA5 63011,19,93978,10.755991,37765,18.8
7,7,7,63012,ZCTA5 63012,12.1,78114,1.018964053,10599,10.4
8,8,8,63013,ZCTA5 63013,24.6,43902,4.365541327,1718,16
9,9,9,63014,ZCTA5 63014,24.4,46711,1.934703748,827,20.2
10,10,10,63015,ZCTA5 63015,10.6,44400,3.816466552,2332,9.5
11,11,11,63016,ZCTA5 63016,17.2,60080,1.778367618,7535,14.9
12,12,12,63017,ZCTA5 63017,24.3,99099,15.83972679,41579,26.6
13,13,13,63019,ZCTA5 63019,17.3,52438,8.359764386,4414,11.6
14,14,14,63020,ZCTA5 63020,21.5,49759,2.548055431,20133,17.4
15,15,15,63021,ZCTA5 63021,14.4,85967,14.12349184,56360,14.1
16,16,16,63023,ZCTA5 63023,17.4,49304,1.614782753,6007,13.7
17,17,17,63025,ZCTA5 63025,16.1,98590,4.429883911,14041,15.4
18,18,18,63026,ZCTA5 63026,14.2,75991,5.225221179,44534,13.4
19,19,19,63028,ZCTA5 63028,20.3,54302,3.309341559,26259,17.7
20,20,20,63030,ZCTA5 63030,18.8,60313,0,223,13.9
21,21,21,63031,ZCTA5 63031,15.5,57470,37.52726968,47672,14.4
22,22,22,63033,ZCTA5 63033,18,52716,71.2345679,43740,15.7
23,23,23,63034,ZCTA5 63034,20,79340,65.81015551,17941,18.9
24,24,24,63036,ZCTA5 63036,30.4,33750,3.950617284,810,25.8
25,25,25,63037,ZCTA5 63037,15.7,52112,2.748610253,3238,14.4
26,26,26,63038,ZCTA5 63038,13.3,125441,8.691460055,7260,13.3
27,27,27,63039,ZCTA5 63039,14.8,55833,0,661,14.8
28,28,28,63040,ZCTA5 63040,11.8,103911,8.387732479,8119,11.5
29,29,29,63041,ZCTA5 63041,30,62375,0,629,30
30,30,30,63042,ZCTA5 63042,15,45236,46.29329552,19748,11.9
31,31,31,63043,ZCTA5 63043,17.2,66553,27.92496444,22496,16.8
32,32,32,63044,ZCTA5 63044,19.6,60344,28.50277961,10613,19.9
33,33,33,63045,ZCTA5 63045,-,-,#DIV/0!,0,-
34,34,34,63047,ZCTA5 63047,0,-,0,64,0
35,35,35,63048,ZCTA5 63048,14.6,60469,4.407135362,3812,14.7
36,36,36,63049,ZCTA5 63049,14.9,63231,5.035234596,16603,12.9
37,37,37,63050,ZCTA5 63050,15.6,61801,2.0181144,16451,13.5
38,38,38,63051,ZCTA5 63051,14.3,60584,2.460506081,14306,12.6
39,39,39,63052,ZCTA5 63052,11.8,69224,4.280506596,26609,9.7
40,40,40,63053,ZCTA5 63053,15.6,50500,0,64,9.4
41,41,41,63055,ZCTA5 63055,7.4,60992,9.213557091,3039,7
42,42,42,63056,ZCTA5 63056,22,43922,0.838677849,2027,21.6
43,43,43,63057,ZCTA5 63057,20,-,36.92307692,65,20
44,44,44,63060,ZCTA5 63060,19.5,56045,0.519357885,2118,17.8
45,45,45,63061,ZCTA5 63061,22.2,-,0,176,22.2
46,46,46,63068,ZCTA5 63068,20.7,51890,2.622377622,5148,18.2
47,47,47,63069,ZCTA5 63069,15.5,62148,10.02569083,15959,13.1
48,48,48,63070,ZCTA5 63070,16.8,49430,7.988661255,7761,12.6
49,49,49,63071,ZCTA5 63071,25.6,31607,1.267962806,1183,15.5
50,50,50,63072,ZCTA5 63072,16.8,59375,2.359985911,2839,14.5
51,51,51,63073,ZCTA5 63073,16.5,-,0,919,16.5
52,52,52,63074,ZCTA5 63074,15.6,43962,38.48673217,14961,12.4
53,53,53,63077,ZCTA5 63077,19.6,45852,5.487305487,10989,16.4
54,54,54,63079,ZCTA5 63079,100,-,0,21,100
55,55,55,63080,ZCTA5 63080,19.6,42002,3.661119516,13220,15.6
56,56,56,63084,ZCTA5 63084,16.1,54461,2.217579945,18669,12.5
57,57,57,63087,ZCTA5 63087,29.4,53301,0,829,14.8
58,58,58,63088,ZCTA5 63088,13.9,58125,7.492208104,8342,14.2
59,59,59,63089,ZCTA5 63089,22.3,51250,2.596491228,5700,20.7
60,60,60,63090,ZCTA5 63090,18.2,64650,4.794932261,21627,17.2
61,61,61,63091,ZCTA5 63091,14.3,57400,4.743975904,1328,10.8
62,62,62,63101,ZCTA5 63101,9.4,54649,61.6786141,3348,7.6
