,ZCTA,Latitude,Longitude,Radius(m),Doctor Count
0,51640,40.6261627,-95.6612343,9613.154676725771,20
1,52626,40.6280976,-91.7358776,8758.69526081807,4
2,63005,38.6442144,-90.6514068,5609.200277269741,20
3,63010,38.4290787,-90.3954521,4270.131470632588,20
4,63011,38.6041904,-90.5596912,3516.768547857193,20
5,63012,38.3435654,-90.4517426,4701.5844516376765,4
6,63013,38.4051227,-91.1459959,5685.017781940611,0
7,63014,38.6518053,-91.3134447,5413.062352731131,0
8,63015,38.392625,-90.7484305,3993.446740556791,1
9,63016,38.3515146,-90.6437429,4700.987174472954,9
10,63017,38.6513091,-90.5312157,4006.5128703085443,20
11,63019,38.2314152,-90.3777037,1684.6334407569293,20
12,63020,38.1009709,-90.5655494,10991.33089991033,18
13,63021,38.5693851,-90.5457557,4246.678643738877,20
14,63023,38.2635512,-90.7203931,7276.209768236384,1
15,63025,38.4934483,-90.617398,5701.009642169035,20
16,63026,38.5013407,-90.4635482,4639.212726975194,20
17,63028,38.1379192,-90.3921821,9999.39593528644,20
18,63030,38.1217749,-90.7182535,3649.0803118377194,0
19,63031,38.8117657,-90.3437169,3361.8393740023726,20
20,63033,38.7991189,-90.2739803,3210.6419171840635,20
21,63034,38.845391,-90.2884951,3885.879051194344,20
22,63036,37.9764277,-90.3717641,4746.516940661395,0
23,63037,38.4226026,-91.316406,8087.055114255055,3
24,63038,38.5789811,-90.673265,4132.8070428161045,17
25,63039,38.4985347,-90.8438334,1913.994681457642,0
26,63040,38.5744087,-90.6310879,1757.3996572236144,34
27,63041,38.2601323,-90.7875289,2899.695766684199,0
28,63042,38.7906945,-90.3926343,3469.2636361240566,20
29,63043,38.7279589,-90.4522055,3088.8477497972094,40
30,63044,38.7650407,-90.4270456,3451.4150558242877,20
31,63045,38.7681287,-90.4669807,1104.3122986041933,1
32,63048,38.2598431,-90.3868894,1545.2999234692224,2
33,63049,38.4784012,-90.5299365,4490.137634814627,20
34,63050,38.2547676,-90.5779915,8848.04329987387,17
35,63051,38.377504,-90.5765947,6243.333555893827,13
36,63052,38.3889031,-90.4368856,5010.066369256585,33
37,63055,38.5423695,-90.8294614,5110.242790243088,0
38,63056,38.4006956,-91.2142453,7075.547409495777,0
39,63060,38.2638744,-90.8564836,6659.410166080472,0
40,63068,38.5669181,-91.2534767,8629.856705840117,2
41,63069,38.4888759,-90.7376621,7825.184339428753,20
42,63070,38.289526,-90.4294944,3465.463320858556,2
43,63071,38.1322689,-90.8516854,7483.347428301849,0
44,63072,38.369499,-90.8177657,5535.555924776041,1
45,63074,38.7263756,-90.3887125,1788.3717871410147,14
46,63077,38.3356362,-90.9973642,8572.860963352825,13
47,63080,38.2227466,-91.0950036,13480.404885973532,20
48,63084,38.4205385,-91.0035447,7694.390588513651,20
49,63087,37.9958464,-90.4323039,4195.0424515610675,0
50,63088,38.5486268,-90.5017046,2175.901417039764,7
51,63089,38.4582714,-90.8895536,5357.12106705241,5
52,63090,38.5287862,-91.0467501,8333.32591354012,20
53,63091,38.3791315,-91.3925865,6518.615538422157,3
54,63101,38.6312017,-90.1925606,562.3306193358028,20
55,63102,38.627137,-90.1855505,1106.6372663165014,20
56,63103,38.6297935,-90.2167309,1349.9066717145313,40
57,63104,38.611669,-90.2146759,1683.3423295222435,20
58,63105,38.6441283,-90.3282549,1463.9955462564817,20
59,63106,38.6444295,-90.2082343,1361.6802967966062,20
60,63107,38.6635897,-90.2114166,1371.9415631812703,14
61,63108,38.6447272,-90.2541032,1408.597683254511,40
62,63109,38.5851338,-90.2953175,1671.505313150617,20
63,63110,38.6245648,-90.2660935,2235.736750784578,20
